author,category,difficulty,duration,link,name,rating
Jean Gorospe,architecture-construction,Advanced,4h 48m,https://www.pluralsight.com:443/courses/introduction-modeling-t-splines-rhino-5-1991,Introduction to Modeling with T-Splines in Rhino,
Deepak Maini,architecture-construction,Beginner,5h 27m,https://www.pluralsight.com:443/courses/autodesk-navisworks-2016-getting-started,Getting Started with Autodesk Navisworks,
Shane Foote,architecture-construction,Intermediate,2h 16m,https://www.pluralsight.com:443/courses/autodesk-formit-360-pro-introduction-conceptual-design,Introduction to Conceptual Design in Autodesk FormIt 360 Pro,
John Pierson,architecture-construction,Beginner,2h 2m,https://www.pluralsight.com:443/courses/insight360-revit-introduction-lighting-analysis,Introduction to Lighting Analysis with Insight 360 & Revit,
Curtis Smith,architecture-construction,Beginner,2h 55m,https://www.pluralsight.com:443/courses/autocad-civil-3d-introduction-surveying-field-finish,Introduction to Surveying: Field to Finish in AutoCAD Civil 3D,
Pierre Derenoncourt,architecture-construction,Beginner,53m,https://www.pluralsight.com:443/courses/introduction-space-planning-design-revit-1329,Introduction to Space Planning and Design in Revit,
John Pierson,architecture-construction,Beginner,2h 51m,https://www.pluralsight.com:443/courses/dynamo-revit-introduction-daily-use,An Introduction to Dynamo for Daily Use Within Revit,
Kevin Griendling,architecture-construction,Intermediate,2h 9m,https://www.pluralsight.com:443/courses/dynamo-revit-visual-programming-introduction,Visual Programming Introduction with Dynamo and Revit,
Pierre Derenoncourt,architecture-construction,Beginner,2h 13m,https://www.pluralsight.com:443/courses/introduction-drafting-annotation-autocad-2016-2220,Introduction to Drafting and Annotation in AutoCAD,
Pierre Derenoncourt,architecture-construction,Intermediate,1h 35m,https://www.pluralsight.com:443/courses/modeling-roof-formations-structures-materials-revit-1895,"Modeling Roof Formations, Structures and Materials in Revit",
Anthony Rosengren,architecture-construction,Beginner,1h 16m,https://www.pluralsight.com:443/courses/grasshopper-architecture-introduction,An Introduction to Using Grasshopper for Architecture,
Curtis Smith,architecture-construction,Beginner,3h 22m,https://www.pluralsight.com:443/courses/introduction-autocad-civil-3d-2143,Introduction to AutoCAD Civil 3D,
